,p10,p50,p90
0,1.0,1.0,1.0
1,0.9714710654638979,1.0096344854803179,1.0496321420384358
2,0.9637911855594447,1.0204898460846703,1.0833956081489526
3,0.9604703039877633,1.0308899460499839,1.1096235646255561
4,0.9606190348307049,1.041016005982703,1.1340120626952381
5,0.961380269607323,1.0527481920870794,1.1570307927829853
6,0.9630505242233534,1.0632291816260255,1.180068380489451
7,0.9650696890510843,1.0748056137312392,1.201635960642862
8,0.968517637027551,1.0858385556227206,1.2241998250652846
9,0.9724254936093087,1.0962212270653988,1.2466604451791472
10,0.9758018347803351,1.1084200302397056,1.2690120255928967
11,0.979750138172516,1.1207616233922446,1.291269817047126
12,0.9830992530826741,1.132514888532183,1.3116719002240524
13,0.9882957214525298,1.1444145106498884,1.3309133423095656
14,0.9930387078550671,1.1563187554825478,1.3522128920393437
15,0.997121986368824,1.169008049374684,1.3721956402845747
16,1.002904593332072,1.180075487766132,1.39619945778137
17,1.0075266472779165,1.1920187620496345,1.4203844352579351
18,1.0133069659142881,1.2055748355883396,1.4405792980468357
19,1.019157844189681,1.217646772722699,1.4631324317918573
20,1.0250530079862776,1.2295226181984598,1.48462987551879
21,1.032895041617282,1.2434085836742315,1.5089594506335893
22,1.0392746290812516,1.2554920406528,1.5323763365408871
23,1.0441043994811734,1.2698049520891148,1.5548193523783214
24,1.0506505833569149,1.2836083923830262,1.5750320974013394
25,1.0577583394080219,1.2951837435440288,1.5977222190450002
26,1.0639591990010955,1.3099030416607058,1.621199981329959
27,1.0708498273290337,1.3232793241315073,1.6473920015030188
28,1.077320042571784,1.3378992284513713,1.6698007122923317
29,1.0871887462911156,1.3509679427930485,1.6926939844675395
30,1.0938805355384935,1.3650173425410268,1.7186989188747976
31,1.1018145166625224,1.3786199580384682,1.7440225325827319
32,1.109422385500074,1.3930583678959043,1.7717036485276445
33,1.1168004483340688,1.4092251954491255,1.794291886493051
34,1.1258570194319795,1.4242663649996716,1.821562164178633
35,1.1339373450903485,1.4400054009455099,1.8471662919318457
36,1.1406828396700128,1.454090833040059,1.8715068681723745
37,1.1503532078232515,1.4706475571252855,1.8966363611586716
38,1.1584818094845164,1.4865883734474856,1.9236025145799556
39,1.1653443362030353,1.5023050252180872,1.9484436805639618
40,1.1736143686410825,1.5186791207995884,1.978502505329754
41,1.1836155476721288,1.5331200143814998,2.0095225212980323
42,1.1924026593218258,1.548744378143848,2.0350091457196386
43,1.2021630101951732,1.5676495897752833,2.0637307602103867
44,1.2099085858356642,1.5840363204031762,2.089769405843325
45,1.2196654533307203,1.59953228675566,2.1147131714432716
46,1.23041898555802,1.6187200438275835,2.1486308952826483
47,1.239481720902797,1.6331842034148831,2.1772728591541846
48,1.2477708361769477,1.6498928498496541,2.205472034433189
49,1.2540076382595844,1.6686682103328234,2.237109269412144
50,1.263688804614336,1.6859377663877673,2.2672691980079045
51,1.2731395400570495,1.7051081727293407,2.2964883724748226
52,1.2812023910109673,1.7205800031945346,2.329359694568965
53,1.291707804710757,1.7394728326056905,2.3593869417125317
54,1.2993755984832407,1.7598201065900907,2.39167384257909
55,1.3093743235494084,1.7796972890643243,2.4242877315944726
56,1.3199174658047095,1.7982623560865254,2.45497334037421
57,1.3302399120930526,1.815517978047363,2.4876420318091763
58,1.3415563922656626,1.8356367540649359,2.5206805511841477
59,1.3506167183026798,1.8562265691135291,2.553274259109369
60,1.3605442932276604,1.8761401676630365,2.5882755509138993
