,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar
Shared_180d,0.11436472966450628,0.12130092363046181,0.9428182922408213,-0.23870130967870928,0.4791122839604048
Shared_252d,0.12323790630006659,0.12721424660151462,0.968742963876495,-0.22592079573098556,0.5454916441017308
Best_Static_ETF_Level,0.11709243114985757,0.12347929880415293,0.9482758023721418,-0.2278190010274631,0.5139713132871754
Shared_180d_VolTarget,0.10597554263880027,0.10545796750871056,1.004907880763461,-0.22653485981279986,0.46781119129468457
Shared_252d_VolTarget,0.11311259552415365,0.10761648018628553,1.051071316664086,-0.20853296670676869,0.5424206892102983
Best_Static_ETF_Level_VolTarget,0.1063429121147137,0.1032324851132197,1.0301303121598075,-0.2112068134622742,0.5035013329894714
Shared_180d_VolTarget_Cap,0.10293595226528085,0.10807054940865803,0.9524884700644835,-0.22639040927848908,0.45468336133734577
Shared_252d_VolTarget_Cap,0.11233786400188661,0.10951912549754685,1.025737408799917,-0.20814683917815346,0.5397048758724428
Best_Static_ETF_Level_VolTarget_Cap,0.10149668866337525,0.10627118453078671,0.9550725261180438,-0.21089444988174366,0.4812677086584697
Shared_180d_VolTarget_Sleeve,0.11766091460790529,0.10852058184983901,1.0842267208879681,-0.20333949451394961,0.5786427023887061
Shared_252d_VolTarget_Sleeve,0.1287576634384675,0.1128704275608766,1.1407564073328431,-0.20162850587357983,0.6385885908374384
Best_Static_ETF_Level_VolTarget_Sleeve,0.11892113771957691,0.10607012084298163,1.1211558615608535,-0.2034306930653228,0.5845781476121238
