,Strategy_60d,Strategy_120d,Strategy_180d,Strategy_252d
2006-01-31,,,,
2006-02-28,-0.02479860052294117,-0.02479860052294117,-0.02479860052294117,-0.02479860052294117
2006-03-31,0.029097775058169767,0.029097775058169767,0.029097775058169767,0.029097775058169767
2006-04-28,0.0485516663033252,0.09520205989466231,0.09520205989466231,0.09520205989466231
2006-05-31,-0.030326720851898654,-0.06302986242478731,-0.06302986242478731,-0.06302986242478731
2006-06-30,-0.017015484996183695,-0.017015484996183695,-0.017015484996183695,-0.02278652993066224
2006-07-31,0.01702722119203916,0.01702722119203916,0.02763273648501003,0.02763273648501003
2006-08-31,0.018588668701594452,0.00884562987685492,-0.0012097435032194636,-0.0012097435032194636
2006-09-29,-0.00173017945785447,-0.018024612869135422,-0.018024612869135422,-0.029460433549588723
2006-10-31,0.0190354672023422,0.006535824280282071,0.02797082107195356,0.02797082107195356
2006-11-30,0.02940129898799352,0.021458768832252898,0.04320784839960098,0.06422094168166377
2006-12-29,0.011838678515789456,0.039628418959520746,0.016094346510432955,0.02001598257996455
2007-01-31,0.013393199439063492,0.012336258273375084,0.009366423549124944,0.009366423549124944
2007-02-28,-0.012020012830474575,-0.023138355259469563,-0.02331983494647167,-0.012020012830474575
2007-03-30,0.012821756362472032,0.03708069553495832,0.03708069553495832,0.012821756362472032
2007-04-30,0.02952290214713702,0.027155964399767252,0.03739894209971659,0.03739894209971659
2007-05-31,0.02773694713442243,0.033844346062553134,0.038433562958454646,0.033844346062553134
2007-06-29,0.012238137244023065,0.012238137244023065,0.012238137244023065,0.012238137244023065
2007-07-31,0.0017821275955111275,-0.011099522808570858,-0.011099522808570858,-0.011099522808570858
2007-08-31,0.022033739699191635,0.022033739699191635,-1.2471004081885103e-05,0.022033739699191635
2007-09-28,0.027793153264705373,0.07450983434468608,0.07450983434468608,0.07450983434468608
2007-10-31,0.08320098393359113,0.08740252878402632,0.08320098393359113,0.08740252878402632
2007-11-30,-0.035502436028454556,-0.035502436028454556,-0.07086206915221752,-0.035502436028454556
2007-12-31,0.039402157594146114,0.039402157594146114,-0.005499999537646689,0.039402157594146114
2008-01-31,0.05245056444752359,0.05245056444752359,0.041488421497235035,0.041488421497235035
