,Shared_252d_MinVar_VolTarget_Sleeve,Shared_252d_EWMAMinVar_VolTarget_Sleeve,Shared_252d_MinVar_VolTarget_Sleeve_Cap,Shared_252d_Ensemble_50_50,Shared_252d_EWMAMinVar_VolTarget_Sleeve_Cap,Shared_252d_EWMA_Ensemble_50_50,Shared_252d_Cap_Ensemble_50_50,Shared_252d_EWMA_Cap_Ensemble_50_50
2006-01-31,0.04611641978161485,0.04611641978161485,0.04611641978161485,0.04611641978161482,0.04611641978161485,0.04611641978161482,0.04611641978161482,0.04611641978161482
2006-02-28,-0.02480564994237105,-0.02480564994237105,-0.02480564994237105,-0.024802125232656076,-0.02480564994237105,-0.024802125232656076,-0.024802125232656076,-0.024802125232656076
2006-03-31,0.0362047224959101,0.0362047224959101,0.03039169002098554,0.0326512487770399,0.0362047224959101,0.0326512487770399,0.02974473253957762,0.0326512487770399
2006-04-28,0.1203097770627827,0.1203097770627827,0.1203097770627827,0.1077559184787225,0.1203097770627827,0.1077559184787225,0.1077559184787225,0.1077559184787225
2006-05-31,-0.013212367941959912,-0.0623197984434443,-0.05249831234314742,-0.038121115183373605,-0.0623197984434443,-0.0626748304341158,-0.05776408738396736,-0.0626748304341158
2006-06-30,-0.0467072031434576,-0.0467072031434576,-0.027170487815440642,-0.0347468665370599,-0.0467072031434576,-0.0347468665370599,-0.02497850887305142,-0.0347468665370599
2006-07-31,0.03131556893987839,0.0307324514783062,0.028283992501123623,0.029474152712444197,0.028283992501123623,0.029182593981658102,0.02795836449306681,0.02795836449306681
2006-08-31,-0.0130389542224021,-0.010970110218722323,-0.0019379807450338182,-0.00712434886281075,-0.001937980745033819,-0.006089926860970861,-0.0015738621241266093,-0.0015738621241266097
2006-09-29,-0.040828426725656744,-0.0269896472500076,-0.030646139547883297,-0.03514443013762272,-0.0269896472500076,-0.02822504039979815,-0.030053286548736,-0.02822504039979815
2006-10-31,0.0374909536491665,0.0374909536491665,0.0374909536491665,0.03273088736056,0.0374909536491665,0.03273088736056,0.03273088736056,0.03273088736056
2006-11-30,0.06436831864773625,0.06436831864773625,0.06436831864773625,0.06429463016469997,0.06436831864773625,0.06429463016469997,0.06429463016469997,0.06429463016469997
2006-12-29,0.004824670769396574,0.0035220349822047436,0.004824670769396574,0.006472738431254587,0.0035220349822047436,0.005821420537658672,0.006472738431254587,0.005821420537658672
2007-01-31,0.00582468506643514,0.006141496897832702,0.00582468506643514,0.00783616654396162,0.006141496897832702,0.007994572459660402,0.00783616654396162,0.007994572459660402
2007-02-28,0.007930798763941626,0.00898414854476548,0.00847320619863166,0.0035583064987269133,0.00898414854476548,0.00408498138913884,0.0038295102160719303,0.00408498138913884
2007-03-30,0.01579613859886401,0.002627160158242997,0.014894517135335218,0.011308138608498606,0.002627160158242997,0.004723649388188099,0.01085732787673421,0.004723649388188099
2007-04-30,0.016882380434485447,0.016584285022132137,0.017628188686496134,0.02528477776881792,0.016948497410494603,0.02513573006264127,0.025657681894823266,0.0253178362568225
