Period,Train Start,Train End,Test Start,Test End,Selected Model
1,2006-01-31,2010-12-31,2011-01-31,2011-12-30,SPY_180_QQQ_180_IWM_60_EFA_60_EEM_252_TLT_252_IEF_252_GLD_180
2,2007-01-31,2011-12-30,2012-01-31,2012-12-31,SPY_60_QQQ_252_IWM_60_EFA_60_EEM_180_TLT_120_IEF_252_GLD_120
3,2008-01-31,2012-12-31,2013-01-31,2013-12-31,SPY_120_QQQ_252_IWM_120_EFA_60_EEM_120_TLT_60_IEF_252_GLD_120
4,2009-01-30,2013-12-31,2014-01-31,2014-12-31,SPY_120_QQQ_252_IWM_120_EFA_60_EEM_120_TLT_60_IEF_252_GLD_120
5,2010-01-29,2014-12-31,2015-01-30,2015-12-31,SPY_120_QQQ_252_IWM_120_EFA_60_EEM_180_TLT_252_IEF_252_GLD_180
6,2011-01-31,2015-12-31,2016-01-29,2016-12-30,SPY_120_QQQ_252_IWM_120_EFA_60_EEM_120_TLT_60_IEF_252_GLD_120
7,2012-01-31,2016-12-30,2017-01-31,2017-12-29,SPY_252_QQQ_252_IWM_120_EFA_60_EEM_120_TLT_180_IEF_60_GLD_120
8,2013-01-31,2017-12-29,2018-01-31,2018-12-31,SPY_120_QQQ_252_IWM_120_EFA_60_EEM_180_TLT_120_IEF_252_GLD_60
9,2014-01-31,2018-12-31,2019-01-31,2019-12-31,SPY_120_QQQ_252_IWM_120_EFA_60_EEM_180_TLT_120_IEF_252_GLD_120
10,2015-01-30,2019-12-31,2020-01-31,2020-12-31,SPY_180_QQQ_180_IWM_60_EFA_60_EEM_252_TLT_252_IEF_252_GLD_180
11,2016-01-29,2020-12-31,2021-01-29,2021-12-31,SPY_180_QQQ_180_IWM_60_EFA_60_EEM_120_TLT_252_IEF_252_GLD_60
12,2017-01-31,2021-12-31,2022-01-31,2022-12-30,SPY_180_QQQ_180_IWM_60_EFA_60_EEM_120_TLT_252_IEF_252_GLD_60
13,2018-01-31,2022-12-30,2023-01-31,2023-12-29,SPY_252_QQQ_252_IWM_120_EFA_120_EEM_120_TLT_180_IEF_120_GLD_180
14,2019-01-31,2023-12-29,2024-01-31,2024-12-31,SPY_180_QQQ_180_IWM_60_EFA_60_EEM_120_TLT_252_IEF_252_GLD_60
15,2020-01-31,2024-12-31,2025-01-31,2025-12-31,SPY_252_QQQ_252_IWM_120_EFA_120_EEM_120_TLT_252_IEF_120_GLD_120
