,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar
Shared_180d_InverseVol,0.10791547428976633,0.1201433630594926,0.8982225196770024,-0.2557054266157589,0.4220304422867324
Shared_180d_EqualWeight,0.10455793964443094,0.12478058365828233,0.8379343691063982,-0.24476137790623764,0.42718316320512234
Shared_180d_MinVar,0.11129803416184969,0.11923516635914272,0.9334329590870368,-0.27743440134220687,0.40116882990500863
Shared_180d_LWMinVar,0.10566634094917493,0.12300634665673656,0.8590316176452999,-0.25963249241875197,0.40698427213320226
Shared_180d_RiskParity,0.10385360819256939,0.1241136282777057,0.8367623252476007,-0.251138883182182,0.41353058067567955
Shared_252d_InverseVol,0.12438044418646821,0.12484138093014795,0.9963078208503826,-0.23154381237419197,0.5371788730223557
Shared_252d_EqualWeight,0.11714218624468664,0.1295935216116699,0.903920078626353,-0.23202125526920825,0.504876960986913
Shared_252d_MinVar,0.13420411387668807,0.12762610654498283,1.0515412364271002,-0.23202125526920836,0.5784130153117845
Shared_252d_LWMinVar,0.12086815213106017,0.12863918552620732,0.9395904648854919,-0.23202125526920847,0.5209356875119905
Shared_252d_RiskParity,0.11886279091138197,0.1293079253376776,0.9192227823699207,-0.23202125526920814,0.5122926810023013
Best_Static_ETF_Level_InverseVol,0.1141205927192328,0.12208798509320619,0.9347405695335966,-0.23373874104491155,0.48823995632502015
Best_Static_ETF_Level_EqualWeight,0.10857140570613022,0.12751651231728037,0.8514301695766909,-0.23501974212387466,0.4619671723105891
Best_Static_ETF_Level_MinVar,0.11197720212320283,0.12256479483055183,0.9136163633122665,-0.23748389705516504,0.4715149259033411
Best_Static_ETF_Level_LWMinVar,0.11204132137377387,0.1262826715126461,0.8872264106525012,-0.23501974212387444,0.47673153055677775
Best_Static_ETF_Level_RiskParity,0.10811050806389777,0.12673383415021724,0.8530516636603506,-0.23501974212387466,0.46000607049817405
