Model,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar,Valid Sharpe,Test Sharpe,Valid CAGR,Test CAGR,Valid MaxDD,Test MaxDD
SPY_120_QQQ_252_IWM_120_EFA_60_EEM_252_TLT_120_IEF_252_GLD_120,0.11760580561337908,0.12371641147844521,0.9506079606412544,-0.2278190010274631,0.5162247445690535,1.1279709206370032,0.9576973584157316,0.11590430344257041,0.125083037805662,-0.09166694460740477,-0.2278190010274631
SPY_120_QQQ_252_IWM_120_EFA_252_EEM_252_TLT_120_IEF_252_GLD_120,0.112348829288474,0.12131134660460743,0.9261197112472492,-0.23617902107686972,0.4756935174691387,1.1279709206370032,0.8632729807327308,0.11590430344257041,0.11060998696781632,-0.09166694460740477,-0.23617902107686983
SPY_120_QQQ_252_IWM_120_EFA_60_EEM_252_TLT_120_IEF_252_GLD_60,0.08921505321819345,0.1230345964223338,0.7251216796936535,-0.23485878466831445,0.3798667924820857,1.121561852310803,0.7509520879852498,0.11116270588638355,0.09496876323976444,-0.09166694460740477,-0.227819001027463
SPY_120_QQQ_252_IWM_120_EFA_252_EEM_252_TLT_120_IEF_252_GLD_60,0.08836058535692004,0.12305944429910975,0.7180317273508058,-0.24762943012777305,0.3568258639989896,1.121561852310803,0.727440713281487,0.11116270588638355,0.09209494049359268,-0.09166694460740477,-0.23617902107686994
SPY_120_QQQ_252_IWM_120_EFA_60_EEM_180_TLT_120_IEF_252_GLD_120,0.1163164608746785,0.12635410298486055,0.9205594288348141,-0.2278190010274631,0.5105652309512884,1.121396023095573,0.9017680298111739,0.11508593794396815,0.11946632017204606,-0.09166694460740477,-0.227819001027463
SPY_120_QQQ_252_IWM_120_EFA_60_EEM_252_TLT_60_IEF_252_GLD_120,0.1266390351762381,0.12525029698933846,1.01108770374427,-0.22781900102746322,0.5558756495511625,1.1193507222115744,0.9621828458607656,0.10902050694597865,0.13268804499690678,-0.09166694460740432,-0.22781900102746278
SPY_120_QQQ_252_IWM_120_EFA_252_EEM_252_TLT_60_IEF_252_GLD_120,0.1167675347842172,0.1220414950192103,0.9567855159905823,-0.23617902107686972,0.49440265376581694,1.1193507222115744,0.8260650428203371,0.10902050694597865,0.1102587959709862,-0.09166694460740432,-0.23617902107686994
SPY_120_QQQ_252_IWM_120_EFA_60_EEM_180_TLT_120_IEF_252_GLD_60,0.08658186286172365,0.12495790167824704,0.6928882583565023,-0.23485878466831445,0.36865498978035327,1.1148585698926963,0.6193667496503213,0.11034781771091384,0.0804347486463648,-0.09166694460740477,-0.22781900102746322
SPY_120_QQQ_252_IWM_120_EFA_60_EEM_180_TLT_60_IEF_252_GLD_120,0.12235590456061485,0.12851588629602728,0.9520683246799283,-0.2278190010274629,0.5370750640148106,1.1125852909325071,0.9093301614998938,0.10820718978488597,0.12703336111852548,-0.09166694460740432,-0.2278190010274631
SPY_120_QQQ_252_IWM_120_EFA_60_EEM_120_TLT_120_IEF_252_GLD_120,0.12632684377340775,0.12477249402859286,1.0124574711511232,-0.2278190010274629,0.5545053011543116,1.0954884920900092,1.0795671175516086,0.1184663463958644,0.13052668844559623,-0.09166694460740477,-0.227819001027463
SPY_120_QQQ_252_IWM_120_EFA_252_EEM_252_TLT_60_IEF_252_GLD_60,0.08429684827638728,0.12319672420351332,0.6842458581701745,-0.25148111540414175,0.3352015046573909,1.0857097439210401,0.6037334700579816,0.10484543270799507,0.07731990464469973,-0.09166694460740432,-0.23617902107686972
SPY_120_QQQ_252_IWM_120_EFA_60_EEM_180_TLT_180_IEF_252_GLD_120,0.12428976592617813,0.12827716254935037,0.9689157715689398,-0.23090861992780487,0.5382638637095408,1.0834426413931355,0.9710332381887806,0.11144285575458968,0.131531392022338,-0.09452756475170165,-0.23090861992780443
SPY_120_QQQ_252_IWM_120_EFA_60_EEM_180_TLT_180_IEF_252_GLD_60,0.09856817514339711,0.12766809029006365,0.7720658695485212,-0.23598663835950784,0.41768540722731906,1.0757296021819522,0.7791495191512608,0.10672021537007859,0.10439818160786651,-0.09452756475170165,-0.23090861992780443
SPY_120_QQQ_252_IWM_120_EFA_60_EEM_252_TLT_60_IEF_252_GLD_60,0.0934408620493068,0.124153066400201,0.7526262923551561,-0.23693987201052014,0.39436529300209133,1.0749004024578914,0.7576586046566134,0.10366308298847904,0.09889342035627413,-0.09166694460740432,-0.2278190010274629
SPY_120_QQQ_252_IWM_120_EFA_60_EEM_120_TLT_120_IEF_252_GLD_180,0.12228499339561183,0.1195006307054631,1.0232999832194312,-0.2332873479887525,0.5241818489081009,1.0701345389139212,1.22750972551533,0.11506381095779217,0.14451763239375182,-0.09166694460740477,-0.2332873479887526
SPY_120_QQQ_252_IWM_120_EFA_252_EEM_120_TLT_120_IEF_252_GLD_120,0.1056683393772988,0.11982128316113243,0.8818828891625111,-0.2527511391167553,0.4180726533876732,1.0698385764747502,0.9199659578667226,0.10493626779118626,0.1131885593273787,-0.09166694460740477,-0.25275113911675573
SPY_120_QQQ_252_IWM_120_EFA_60_EEM_180_TLT_60_IEF_252_GLD_60,0.08842942115981556,0.12642697156864474,0.6994506003159456,-0.23693987201052036,0.37321460676694046,1.0680965250526249,0.629829220197981,0.10285369477623485,0.08430731201762742,-0.09166694460740432,-0.2278190010274629
SPY_120_QQQ_252_IWM_120_EFA_60_EEM_120_TLT_180_IEF_252_GLD_180,0.13144239448974715,0.12379900640322118,1.0617403023545355,-0.23635508716381304,0.5561225530070653,1.0515190049732308,1.2412226177778414,0.11322481470037626,0.16032849710514463,-0.09452756475170165,-0.23635508716381282
SPY_120_QQQ_252_IWM_120_EFA_60_EEM_120_TLT_120_IEF_252_GLD_60,0.09496846215395438,0.12025104787109607,0.7897516390522973,-0.22781900102746333,0.41685926865470735,1.0487482851121015,0.7399045781122422,0.10889811435228558,0.08979052530531528,-0.09166694460740477,-0.227819001027463
