,EEM,EFA,GLD,IEF,IWM,QQQ,SPY,TLT
2006-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-28,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2006-03-31,0.37947918439749884,0.0,0.620520815602501,0.0,0.0,0.0,0.0,0.0
2006-04-28,0.3760024544980931,0.0,0.6239975455019069,0.0,0.0,0.0,0.0,0.0
2006-05-31,0.4413230335284225,0.0,0.5586769664715775,0.0,0.0,0.0,0.0,0.0
2006-06-30,0.3890853711922813,0.0,0.6109146288077187,0.0,0.0,0.0,0.0,0.0
2006-07-31,0.4355083189603384,0.0,0.5644916810396616,0.0,0.0,0.0,0.0,0.0
2006-08-31,0.4352356180405379,0.0,0.5647643819594621,0.0,0.0,0.0,0.0,0.0
2006-09-29,0.4444674916893287,0.0,0.5555325083106712,0.0,0.0,0.0,0.0,0.0
2006-10-31,0.0,0.6626185386418921,0.33738146135810787,0.0,0.0,0.0,0.0,0.0
2006-11-30,0.4542485607225683,0.0,0.5457514392774317,0.0,0.0,0.0,0.0,0.0
2006-12-29,0.4597800497640703,0.0,0.5402199502359298,0.0,0.0,0.0,0.0,0.0
2007-01-31,0.11037186237354624,0.2553228636458347,0.0,0.6343052739806192,0.0,0.0,0.0,0.0
2007-02-28,0.3232720142738959,0.676727985726104,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.6647951814945642,0.3352048185054359,0.0,0.0,0.0,0.0,0.0
2007-04-30,0.12352790729187958,0.2760944862520469,0.0,0.6003776064560735,0.0,0.0,0.0,0.0
2007-05-31,0.3058178907012469,0.6941821092987531,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-29,0.31359825554160775,0.6864017444583922,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-31,0.3250158673636523,0.6749841326363478,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-31,0.2101023753773965,0.0,0.0,0.5352549940313741,0.0,0.2546426305912294,0.0,0.0
2007-09-28,0.4387062381658939,0.0,0.0,0.0,0.0,0.5612937618341062,0.0,0.0
2007-10-31,0.40062989850913217,0.0,0.0,0.0,0.0,0.5993701014908678,0.0,0.0
2007-11-30,0.4778062902331193,0.0,0.5221937097668806,0.0,0.0,0.0,0.0,0.0
2007-12-31,0.4136311430159302,0.0,0.5863688569840698,0.0,0.0,0.0,0.0,0.0
