,EEM,EFA,GLD,IEF,IWM,QQQ,SPY,TLT
2006-01-31,True,True,True,False,True,True,True,False
2006-02-28,True,True,True,False,True,True,True,True
2006-03-31,True,True,True,False,True,True,True,False
2006-04-28,True,True,True,False,True,True,True,False
2006-05-31,True,True,True,False,True,False,True,False
2006-06-30,True,True,True,False,True,False,True,False
2006-07-31,True,True,True,True,False,False,True,False
2006-08-31,True,True,True,True,True,False,True,True
2006-09-29,True,True,True,True,True,True,True,True
2006-10-31,True,True,True,True,True,True,True,True
2006-11-30,True,True,True,True,True,True,True,True
2006-12-29,True,True,True,True,True,True,True,True
2007-01-31,True,True,True,True,True,True,True,True
2007-02-28,True,True,True,True,True,True,True,True
2007-03-30,True,True,True,True,True,True,True,True
2007-04-30,True,True,True,True,True,True,True,True
2007-05-31,True,True,True,True,True,True,True,False
2007-06-29,True,True,True,False,True,True,True,False
2007-07-31,True,True,True,True,False,True,True,True
2007-08-31,True,True,True,True,False,True,True,True
2007-09-28,True,True,True,True,True,True,True,True
2007-10-31,True,True,True,True,True,True,True,True
2007-11-30,True,True,True,True,False,True,True,True
2007-12-31,True,True,True,True,False,True,False,True
2008-01-31,False,False,True,True,False,False,False,True
2008-02-29,False,False,True,True,False,False,False,True
2008-03-31,False,False,True,True,False,False,False,True
2008-04-30,True,False,True,True,False,False,False,True
2008-05-30,True,True,True,True,True,True,False,False
2008-06-30,False,False,True,True,False,False,False,True
2008-07-31,False,False,True,True,False,False,False,True
2008-08-29,False,False,False,True,True,False,False,True
2008-09-30,False,False,False,True,False,False,False,True
2008-10-31,False,False,False,True,False,False,False,True
2008-11-28,False,False,False,True,False,False,False,True
2008-12-31,False,False,True,True,False,False,False,True
2009-01-30,False,False,True,True,False,False,False,True
2009-02-27,False,False,True,True,False,False,False,True
2009-03-31,False,False,True,True,False,False,False,True
2009-04-30,True,False,True,True,False,True,False,False
2009-05-29,True,True,True,False,False,True,True,False
2009-06-30,True,True,True,False,True,True,True,False
2009-07-31,True,True,True,False,True,True,True,False
2009-08-31,True,True,True,False,True,True,True,False
2009-09-30,True,True,True,True,True,True,True,False
2009-10-30,True,True,True,True,True,True,True,False
2009-11-30,True,True,True,True,True,True,True,True
2009-12-31,True,True,True,False,True,True,True,False
2010-01-29,True,True,True,True,True,True,True,False
2010-02-26,True,True,True,True,True,True,True,False
2010-03-31,True,True,True,True,True,True,True,False
2010-04-30,True,True,True,True,True,True,True,True
